SIZING PARAMETERS:
NUMBER OF MEGA-CHARGERS: 3
NUMBER OF REGULAR-CHARGERS: 1
NUMBER OF SPARE BATTERIES: 1

FLIGHTS INFORMATION: 
Aircraft   Flight     Destination      Departure Time  Arrival Time    SoC (%)      
A1         F1         MSN                         14.0        124.0      52.94
A1         F2         MDW                        230.0        314.0      16.13
A1         F3         CID                        382.0        507.0      87.55
A1         F4         SPI                        587.0        719.0      78.71
A2         F1         SBN                         52.0        150.0      43.13
A2         F2         SPI                        294.0        425.0      78.71
A2         F3         CMI                        561.0        679.0      63.50
A2         F4         MDW                        765.0        853.0      16.13
A3         F1         SBN                         55.0        173.0      43.13
A3         F2         CID                        336.0        471.0      87.55
A3         F3         BMI                        602.0        719.0      55.89
A4         F1         BMI                         83.0        207.0      55.89
A4         F2         MKE                        323.0        437.0      36.50
A4         F3         LAF                        585.0        751.0      57.12
A5         F1         BMI                        114.0        228.0      55.89
A5         F2         MKE                        313.0        416.0      36.50
A5         F3         FWA                        489.0        613.0      71.84
A5         F4         LAN                        692.0        820.0      80.43
A6         F1         IND                        117.0        252.0      79.94
A6         F2         MDW                        477.0        560.0      16.13
A6         F3         CMI                        645.0        767.0      63.50
A7         F1         MKE                        150.0        254.0      36.50
A7         F2         GRR                        440.0        563.0      63.99
A7         F3         SPI                        721.0        849.0      78.71
A8         F1         SBN                        179.0        282.0      43.13
A8         F2         CID                        377.0        510.0      87.55
A9         F1         MDW                        207.0        298.0      16.13
A10        F1         IND                        207.0        341.0      79.94
A11        F1         LAF                        331.0        487.0      57.12
A11        F2         MSN                        713.0        827.0      52.94
